本当に,truly,ホントウニ
相手,partner,アイテ
機能,function,キノウ
会社,company,ガイシャ
契約,contract,ケイヤク
食べる,to eat (verb),タベル
写真,photograph,シャシン
家族,family,カゾク
かかる,to take (time/money) (verb),カカル
利用する,to use (verb),リヨウスル
求める,to seek (verb),モトメル
つける,to attach (verb),ツケル
使用する,to use (verb),シヨウスル
大学,university,ダイガク
施設,facility,シセツ
以外,other than,イガイ
気持ち,feeling,キモチ
計画,plan,ケイカク
水,water,ミズ
悪い,bad (adj),ワルイ
まったく,completely,マッタク
化する,to change into (verb),カスル
与える,to give (verb),アタエル
機関,institution,キカン
理由,reason,リユウ
新しい,new (adj),アタラシイ
自身,oneself,ジシン
患者,patient,カンジャ
形,shape,カタチ
欲しい,wanted (adj),ホシイ
含む,to include (verb),フクム
いける,can go (verb),イケル
それぞれ,each,ソレゾレ
お客様,customer,オキャクサマ
いただける,can receive (verb),イタダケル
うち,home,ウチ
電話,telephone,デンワ
意見,opinion,イケン
最初,first,サイショ
専門,specialty,センモン
今後,from now on,コンゴ
かなり,considerably,カナリ
すぐ,immediately,スグ
非常な,extreme (adj),ヒジョウナ
非常,emergency,ヒジョウ
影響,influence,エイキョウ
期間,period,キカン
必ず,without fail,カナラズ
示す,to show (verb),シメス
皆,everyone,ミンナ
サイト,site,サイト
点,point,テン
開発,development,カイハツ
病院,hospital,ビョウイン
経験,experience,ケイケン
教える,to teach (verb),オシエル
まだ,still,マダ
長い,long (adj),ナガイ
支援,support,シエン
責任,responsibility,セキニン
難しい,difficult (adj),ムズカシイ
安全な,safe (adj),アンゼンナ
安全,safety,アンゼン
ちょっと,a little,チョット
認める,to recognize (verb),ミトメル
一緒,together,イッショ
今日,today,キョウ
相談,consultation,ソウダン
使用,use,シヨウ
かける,to hang (verb),カケル
はず,should,ハズ
取る,to take (verb),トル
評価,evaluation,ヒョウカ
生きる,to live (verb),イキル
原因,cause,ゲンイン
あまり,not much,アマリ
進む,to advance (verb),ススム
感じ,feeling,カンジ
データ,data,データ
ほとんど,mostly,ホトンド
作品,work,サクヒン
思い,thought,オモイ
説明,explanation,セツメイ
最後,last,サイゴ
先,ahead,サキ
経営,management,ケイエイ
能力,ability,ノウリョク
紹介する,to introduce (verb),ショウカイスル
声,voice,コエ
最近,recently,サイキン
指導,guidance,シドウ
合わせる,to match (verb),アワセル
子,child,コ
異なる,to differ (verb),コトナル
まま,as it is,ママ
最も,most,モットモ
選ぶ,to choose (verb),エラブ
これから,from now on,コレカラ
国民,national,コクミン
人々,people,ヒトビト
初めて,for the first time,ハジメテ
簡単な,easy (adj),カンタンナ
簡単,easy,カンタン
条件,condition,ジョウケン
いろいろ,various,イロイロ
文化,culture,ブンカ
組織,organization,ソシキ
対応,response,タイオウ
音,sound,オト
自由な,free (adj),ジユウナ
自由,freedom,ジユウ
行動,action,コウドウ
運動,exercise,ウンドウ
とる,to take (verb),トル
楽しい,fun (adj),タノシイ
対策,countermeasure,タイサク
業務,business,ギョウム
飲む,to drink (verb),ノム
神,god,カミ
増える,to increase (verb),フエル
国際,international,コクサイ
関わる,to be involved (verb),カカワル
政府,government,セイフ
続く,to continue (verb),ツヅク
もっと,more,モット
命,life,イノチ
置く,to put (verb),オク
買う,to buy (verb),カウ
もちろん,of course,モチロン
より,more than,ヨリ
質問,question,シツモン
下,below,シタ
精神,spirit,セイシン
作業,work,サギョウ
続ける,to continue (verb),ツヅケル
道,road,ミチ
際,occasion,サイ
基準,standard,キジュン
働く,to work (verb),ハタラク
こんな,like this,コンナ
頭,head,アタマ
健康な,healthy (adj),ケンコウナ
健康,health,ケンコウ
メール,email,メール
どんな,what kind,ドンナ
確認,confirmation,カクニン
当時,at that time,トウジ
確認する,to confirm (verb),カクニンスル
早い,early (adj),ハヤイ
すでに,already,スデニ
ふつう,normal,フツウ
映画,movie,エイガ
具体,concrete,グタイ
身,body,ミ
価値,value,カチ
意識,consciousness,イシキ
決める,to decide (verb),キメル
自己,self,ジコ
歴史,history,レキシ
主義,principle,シュギ
伝える,to convey (verb),ツタエル
知識,knowledge,チシキ
物,thing,モノ
時期,period,ジキ
行為,act,コウイ
過ぎる,to pass (verb),スギル
理解,understanding,リカイ
進める,to advance (verb),ススメル
中心,center,チュウシン
学ぶ,to learn (verb),マナブ
大変な,tough (adj),タイヘンナ
大変,very,タイヘン
頃,around,コロ
取り引き,transaction,トリヒキ
存在する,to exist (verb),ソンザイスル
姿,figure,スガタ
用いる,to use (verb),モチイル
学生,student,ガクセイ
年金,pension,ネンキン
生まれる,to be born (verb),ウマレル
起こる,to occur (verb),オコル
顔,face,カオ
生産,production,セイサン
始める,to begin (verb),ハジメル
存在,existence,ソンザイ
なぜ,why,ナゼ
始まる,to begin (verb),ハジマル
残る,to remain (verb),ノコル
定める,to establish (verb),サダメル
検査,inspection,ケンサ
政治,politics,セイジ
地方,region,チホウ
試験,exam,シケン
変化,change,ヘンカ
うまい,skilled/delicious (adj),ウマイ
参加,participation,サンカ
家庭,household,カテイ
発生する,to occur (verb),ハッセイスル
変える,to change (verb),カエル
男性,male,ダンセイ
事実,fact,ジジツ
こう,like this,コウ
実施する,to implement (verb),ジッシスル
直接な,direct (adj),チョクセツナ
直接,directly,チョクセツ
事故,accident,ジコ
方向,direction,ホウコウ
当然,naturally,トウゼン
しっかり,firmly,シッカリ
例,example,レイ
提供する,to provide (verb),テイキョウスル
目指す,to aim (verb),メザス
歩く,to walk (verb),アルク
保護,protection,ホゴ
構造,structure,コウゾウ
人生,life,ジンセイ
終わる,to end (verb),オワル
理解する,to understand (verb),リカイスル
なかなか,very,ナカナカ
レベル,level,レベル
英語,English,エイゴ
価格,price,カカク
描く,to draw (verb),エガク
いつも,always,イツモ
みたい,like,ミタイ
目標,goal,モクヒョウ
行政,administration,ギョウセイ
足,foot,アシ
違い,difference,チガイ
花,flower,ハナ
センター,center,センター
説明する,to explain (verb),セツメイスル
開く,to open (verb),ヒラク
皆さん,everyone,ミナサン
もし,if,モシ
お金,money,オカネ
これらの,these,コレラノ
資料,materials,シリョウ
頑張る,to do one's best (verb),ガンバル
病気,illness,ビョウキ
当社,our company,トウシャ
住宅,residence,ジュウタク
深い,deep (adj),フカイ
分野,field,ブンヤ
守る,to protect (verb),マモル
名前,name,ナマエ
以前,before,イゼン
症状,symptom,ショウジョウ
現実,reality,ゲンジツ
課題,assignment,カダイ
すごい,amazing (adj),スゴイ
種類,type,シュルイ
沢山な,many (adj),タクサンナ
沢山,many,タクサン
消費,consumption,ショウヒ
団体,organization,ダンタイ
戻る,to return (verb),モドル
男,man,オトコ
金融,finance,キンユウ
科学,science,カガク
近い,near (adj),チカイ
製品,product,セイヒン
限り,limit,カギリ
親,parent,オヤ
ポイント,point,ポイント
含める,to include (verb),フクメル
店,shop,ミセ
参加する,to participate (verb),サンカスル
同様な,similar (adj),ドウヨウナ
同様,similarly,ドウヨウ
政策,policy,セイサク
部屋,room,ヘヤ
事件,incident,ジケン
ページ,page,ページ
エネルギー,energy,エネルギー
市場,market,イチバ
段階,stage,ダンカイ
特別な,special (adj),トクベツナ
特別,special,トクベツ
続ける,to continue (verb),ツヅケル
規定,regulation,キテイ
全国,nationwide,ゼンコク
負担,burden,フタン
同時に,simultaneously,ドウジニ
土地,land,トチ
通常,usually,ツウジョウ
低い,low (adj),ヒクイ
明らかな,obvious (adj),アキラカナ
明らか,clear,アキラカ
被害,damage,ヒガイ
報告,report,ホウコク
小さい,small (adj),チイサイ
考え,thought,カンガエ
都市,city,トシ
広い,wide (adj),ヒロイ
費用,cost,ヒヨウ
設定,setting,セッテイ
正しい,correct (adj),タダシイ
手続き,procedure,テツヅキ
海外,overseas,カイガイ
投資,investment,トウシ
将来,future,ショウライ
連絡,contact,レンラク
新たな,new (adj),アラタナ
新た,new,アラタ
つながる,to connect (verb),ツナガル
そのまま,as it is,ソノママ
場,place,バ
変更,change,ヘンコウ
表示する,to display (verb),ヒョウジスル
販売,sale,ハンバイ
法律,law,ホウリツ
二つ,two,フタツ
注意,caution,チュウイ
自ら,oneself,ミズカラ
十分な,enough (adj),ジュウブンナ
十分,sufficiently,ジュウブン
取り組む,to tackle (verb),トリクム
外国,foreign country,ガイコク
身体,body,シンタイ
過去,past,カコ
送る,to send (verb),オクル
あの,that,アノ
登録,registration,トウロク
生じる,to occur (verb),ショウジル
気づく,to notice (verb),キヅク
お願いする,to request (verb),オネガイスル
学習,study,ガクシュウ
面白い,interesting (adj),オモシロイ
逆な,opposite (adj),ギャクナ
逆,reverse,ギャク
こういう,this kind,コウイウ
楽しむ,to enjoy (verb),タノシム
夢,dream,ユメ
帰る,to return (verb),カエル
完全な,complete (adj),カンゼンナ
完全,completely,カンゼン
乗る,to ride (verb),ノル
覚える,to memorize (verb),オボエル
述べる,to state (verb),ノベル
走る,to run (verb),ハシル
昔,old days,ムカシ
協力,cooperation,キョウリョク
にくい,difficult (adj),ニクイ
所,place,トコロ
範囲,range,ハンイ
医師,doctor,イシ
勉強,study,ベンキョウ
本人,the person themselves,ホンニン
忘れる,to forget (verb),ワスレル
いずれ,eventually,イズレ
対応する,to respond (verb),タイオウスル
図る,to plan (verb),ハカル
授業,lesson,ジュギョウ
テレビ,TV,テレビ
探す,to search (verb),サガス
国家,nation,コッカ
考え方,way of thinking,カンガエカタ
通り,street,トオリ
特徴,characteristic,トクチョウ
立つ,to stand (verb),タツ
母,mother,ハハ
住む,to live (verb),スム
現れる,to appear (verb),アラワレル
内,inside,ナカ
希望,hope,キボウ
色,color,イロ
参考,reference,サンコウ
戦争,war,センソウ
産業,industry,サンギョウ
担当,in charge,タントウ
銀行,bank,ギンコウ
今年,this year,コトシ
光,light,ヒカリ
介護,nursing care,カイゴ
会員,member,カイイン
大事な,important (adj),ダイジナ
大事,importance,ダイジ
処理,processing,ショリ
判断,judgment,ハンダン
機会,opportunity,キカイ
超える,to exceed (verb),コエル
グループ,group,グループ
役割,role,ヤクワリ
常に,always,ツネニ
予定,schedule,ヨテイ
危険な,dangerous (adj),キケンナ
危険,danger,キケン
基礎,foundation,キソ
市民,citizen,シミン
海,sea,カイ
笑い,laughter,ワライ
右,right,ミギ
山,mountain,ヤマ
規模,scale,キボ
法人,corporation,ホウジン
有効な,valid (adj),ユウコウナ
有効,valid,ユウコウ
こうした,these,コウシタ
方々,people,カタガタ
以降,from now on,イコウ
年,year,トシ
イメージ,image,イメージ
詳しい,detailed (adj),クワシイ
カード,card,カード
嬉しい,happy (adj),ウレシイ
手術,surgery,シュジュツ
営業,sales,エイギョウ
美味しい,delicious (adj),オイシイ
会議,meeting,カイギ
体験,experience,タイケン
起きる,to wake up (verb),オキル
調べる,to investigate (verb),シラベル
成長,growth,セイチョウ
食事,meal,ショクジ
税,tax,ゼイ
当該,the said,トウガイ
外,outside,ソト
話す,to speak (verb),ハナス
資格,qualification,シカク
確かに,certainly,タシカニ
現場,site,ゲンバ
職員,staff,ショクイン
立場,position,タチバ
残す,to leave (verb),ノコス
業者,contractor,ギョウシャ
事務,office work,ジム
物質,substance,ブッシツ
別な,another (adj),ベツナ
別,another,ベツ
ケース,case,ケース
文字,character,モジ
細胞,cell,サイボウ
音楽,music,オンガク
提供,provision,テイキョウ
タイプ,type,タイプ
値,value,アタイ
木,tree,キ
待つ,to wait (verb),マツ
料金,fee,リョウキン
始め,beginning,ハジメ
死ぬ,to die (verb),シヌ
ゲーム,game,ゲーム
父,father,チチ
口,mouth,クチ
不安な,anxious (adj),フアンナ
不安,anxiety,フアン
夜,night,ヨル
辺り,vicinity,ホトリ
生徒,student,セイト
きれいな,beautiful (adj),キレイナ
きれい,beautiful,キレイ
研修,training,ケンシュウ
皆様,everyone,ミナサマ
表現,expression,ヒョウゲン
事項,matter,ジコウ
申請,application,シンセイ
金額,amount,キンガク
記事,article,キジ
指定,designation,シテイ
語る,to talk (verb),カタル
お願い,request,オネガイ
建物,building,タテモノ
申し上げる,to say (humble verb),モウシアゲル
道路,road,ドウロ
ずっと,continuously,ズット
まあ,well,マア
打つ,to hit (verb),ウツ
若い,young (adj),ワカイ
上記,above mentioned,ジョウキ
社員,employee,シャイン
地球,Earth,チキュウ
議論,discussion,ギロン
自体,itself,ジタイ
積極,positive,セッキョク
日本語,Japanese,ニホンゴ
色々な,various (adj),イロイロナ
色々,various,イロイロ
向かう,to head (verb),ムカウ
スタッフ,staff,スタッフ
小さな,small (adj),チイサナ
資金,funds,シキン
厳しい,strict (adj),キビシイ
最終,final,サイシュウ
娘,daughter,ムスメ
請求,claim,セイキュウ
インターネット,internet,インターネット
妻,wife,ツマ
数,number,カズ
権利,right,ケンリ
支払い,payment,シハライ
見せる,to show (verb),ミセル
朝,morning,アサ
作成する,to create (verb),サクセイスル
上がる,to rise (verb),アガル
繰り返す,to repeat (verb),クリカエス
信じる,to believe (verb),シンジル
周り,surroundings,マワリ
薬,medicine,クスリ
動き,movement,ウゴキ
検討する,to consider (verb),ケントウスル
最大,maximum,サイダイ
安い,cheap (adj),ヤスイ
脳,brain,ノウ
利益,profit,リエキ
画像,image,ガゾウ
携帯,mobile phone,ケイタイ
近く,nearby,チカク
代表,representative,ダイヒョウ
程度,degree,テイド
旅行,trip,リョコウ
ぜひ,by all means,ゼヒ
当たる,to hit (verb),アタル
動物,animal,ドウブツ
なくなる,to disappear (verb),ナクナル
住民,resident,ジュウミン
動く,to move (verb),ウゴク
興味,interest,キョウミ
福祉,welfare,フクシ
特定,specific,トクテイ
年齢,age,ネンレイ
リスク,risk,リスク
会う,to meet (verb),アウ
位置,location,イチ
女,female,オンナ
質,quality,シツ
テーマ,theme,テーマ
素晴らしい,wonderful (adj),スバラシイ
ホームページ,homepage,ホームページ
決まる,to be decided (verb),キマル
ネット,net,ネット
地震,earthquake,ジシン
適切な,appropriate (adj),テキセツナ
適切,appropriate,テキセツ
夫,husband,オット
料理,cooking,リョウリ
高齢,old age,コウレイ
付ける,to attach (verb),ツケル
国内,domestic,コクナイ
総合,comprehensive,ソウゴウ
購入,purchase,コウニュウ
体制,system,タイセイ
改善,improvement,カイゼン
結構,fairly,ケッコウ
実施,implementation,ジッシ
金,gold,テツ
駄目な,no good (adj),ダメナ
駄目,no good,ダメ
友達,friend,トモダチ
コース,course,コース
くださる,to give (honorific verb),クダサル
本当,truth,ホントウ
ファイル,file,ファイル
まとめる,to summarize (verb),マトメル
様子,state,ヨウス
組合,union,クミアイ
判断する,to judge (verb),ハンダンスル
工事,construction,コウジ
美しい,beautiful (adj),ウツクシイ
日常,daily life,ニチジョウ
効率,efficiency,コウリツ
思える,to seem (verb),オモエル
起こす,to cause (verb),オコス
流れ,flow,ナガレ
使える,to be usable (verb),ツカエル
関連,relation,カンレン
左,left,ヒダリ
原則,principle,ゲンソク
決定,decision,ケッテイ
画面,screen,ガメン
上げる,to raise (verb),アゲル
印象,impression,インショウ
あげる,to give (verb),アゲル
無料,free,ムリョウ
プログラム,program,プログラム
整備,maintenance,セイビ
申し込み,application,モウシコミ
傾向,tendency,ケイコウ
ビジネス,business,ビジネス
とおり,as expected,トオリ
紹介,introduction,ショウカイ
困難な,difficult (adj),コンナンナ
困難,difficulty,コンナン
現状,current situation,ゲンジョウ
感覚,sensation,カンカク
おる,to be (humble verb),オル
ほぼ,almost,ホボ
取り組み,effort,トリクミ
解決,solution,カイケツ
長,length,チョウ
見つける,to find (verb),ミツケル
選択,choice,センタク
結局,after all,ケッキョク
準備,preparation,ジュンビ
ゼロ,zero,ゼロ
検討,consideration,ケントウ
項目,item,コウモク
新聞,newspaper,シンブン
図,diagram,ズ
購入する,to purchase (verb),コウニュウスル
酒,alcohol,サケ
どういう,what kind,ドウイウ
問い合わせ,inquiry,トイアワセ
自動車,automobile,ジドウシャ
高校,high school,コウコウ
交通,transportation,コウツウ
設定する,to set (verb),セッテイスル
大臣,minister,ダイジン
実現する,to realize (verb),ジツゲンスル
電子,electronic,デンシ
途中,on the way,トチュウ
優しい,kind (adj),ヤサシイ
運営,operation,ウンエイ
白,white,シロ
現代,modern times,ゲンダイ
建築,architecture,ケンチク
合う,to fit (verb),アウ
そのもの,the thing itself,ソノモノ
失う,to lose (verb),ウシナウ
表示,display,ヒョウジ
努力,effort,ドリョク
雇用,employment,コヨウ
パソコン,personal computer,パソコン
一定な,fixed (adj),イッテイナ
一定,certain,イッテイ
答える,to answer (verb),コタエル
選択する,to select (verb),センタクスル
無理な,impossible (adj),ムリナ
無理,impossible,ムリ
える,to obtain (verb),エル
多く,many,オオク
バス,bus,バス
結婚,marriage,ケッコン
決して,never,ケッシテ
要素,element,ヨウソ
魅力,charm,ミリョク
付く,to attach (verb),ツク
設計,design,セッケイ
複数,multiple,フクスウ
電気,electricity,デンキ
明確な,clear (adj),メイカクナ
明確,clarity,メイカク
共同,joint,キョウドウ
友人,friend,ユウジン
きちんと,properly,キチント
ちゃう,(casual negative),チャウ
設置する,to install (verb),セッチスル
長期,long term,チョウキ
向上,improvement,コウジョウ
しかた,method,シカタ
まさに,exactly,マサニ
回答,response,カイトウ
離れる,to separate (verb),ハナレル
日々,daily,ヒビ
世紀,century,セイキ
葉,leaf,ハ
幸せな,happy (adj),シアワセナ
幸せ,happiness,シアワセ
活かす,to utilize (verb),イカス
歯,tooth,ハ
大人,adult,オトナ
用意する,to prepare (verb),ヨウイスル
豊かな,abundant (adj),ユタカナ
豊か,abundance,ユタカ
止まる,to stop (verb),トマル
分ける,to divide (verb),ワケル
痛み,pain,イタミ
期待,expectation,キタイ
広がる,to spread (verb),ヒロガル
困る,to be troubled (verb),コマル
自動,automatic,ジドウ
バランス,balance,バランス
全部,all,ゼンブ
面,face,メン
なす,eggplant,ナス
止める,to stop (verb),トメル
量,quantity,リョウ
事務所,office,ジムショ
神経,nerve,シンケイ
分析,analysis,ブンセキ
成果,result,セイカ
開催する,to hold (verb),カイサイスル
番号,number,バンゴウ
人気,popularity,ニンキ
比べる,to compare (verb),クラベル
安定な,stable (adj),アンテイナ
安定,stability,アンテイ
メーカー,manufacturer,メーカー
イベント,event,イベント
分,minute,ブン
信頼,trust,シンライ
計算,calculation,ケイサン
詳細な,detailed (adj),ショウサイナ
詳細,detail,ショウサイ
モデル,model,モデル
活用する,to utilize (verb),カツヨウスル
県,prefecture,ケン
ユーザー,user,ユーザー
デザイン,design,デザイン
感情,emotion,カンジョウ
癌,cancer,ガン
掲載する,to publish (verb),ケイサイスル
間違い,mistake,マチガイ
裁判,trial,サイバン
審査,examination,シンサ
元気な,energetic (adj),ゲンキナ
元気,energy,ゲンキ
勧める,to recommend (verb),ススメル
チーム,team,チーム
看護,nursing,カンゴ
切る,to cut (verb),キル
期待する,to expect (verb),キタイスル
予約,reservation,ヨヤク
仲間,companion,ナカマ
中央,center,チュウオウ
加える,to add (verb),クワエル
事前,in advance,ジゼン
仕組み,mechanism,シクミ
向ける,to direct (verb),ムケル
至る,to reach (verb),イタル
文,sentence,カキ
重い,heavy (adj),オモイ
通信,communication,ツウシン
ござる,to be (honorific),ゴザル
いろんな,various (adj),イロンナ
もらえる,can receive (verb),モラエル
実験,experiment,ジッケン
攻撃,attack,コウゲキ
風な,wind-like (adj),フウナ
風,wind,フウ
コミュニケーション,communication,コミュニケーション
基づく,to be based on (verb),モトヅク
避ける,to avoid (verb),ヨケル
診断,diagnosis,シンダン
犬,dog,イヌ
支払う,to pay (verb),シハラウ
売る,to sell (verb),ウル
過ごす,to spend time (verb),スゴス
いわゆる,so-called,イワユル
空,sky,ソラ
除く,to exclude (verb),ノゾク
改革,reform,カイカク
短い,short (adj),ミジカイ
平均,average,ヘイキン
年度,fiscal year,ネンド
迎える,to welcome (verb),ムカエル
財産,property,ザイサン
育てる,to raise (verb),ソダテル
資産,asset,シサン
お話,talk,オハナシ
雰囲気,atmosphere,フンイキ
ブログ,blog,ブログ
戦略,strategy,センリャク
変更する,to change (verb),ヘンコウスル
距離,distance,キョリ
交流,exchange,コウリュウ
挙げる,to raise (verb),アゲル
業界,industry,ギョウカイ
姿勢,posture,シセイ
夏,summer,ナツ
最高な,best (adj),サイコウナ
最高,highest,サイコウ
周辺,surroundings,シュウヘン
視点,viewpoint,シテン
原発,nuclear power plant,ゲンパツ
作成,creation,サクセイ
高める,to enhance (verb),タカメル
文章,writing,ブンショウ
知れる,to become known (verb),シレル
記載する,to describe (verb),キサイスル
落ちる,to fall (verb),オチル
押す,to push (verb),オス
とにかく,anyhow,トニカク
調整,adjustment,チョウセイ
予算,budget,ヨサン
なれる,to become (verb),ナレル
プロジェクト,project,プロジェクト
限る,to limit (verb),カギル
公共,public,コウキョウ
発生,occurrence,ハッセイ
単位,unit,タンイ
軽い,light (adj),カルイ
額,amount,ガク
お客,customer,オキャク
変化する,to change (verb),ヘンカスル
答え,answer,コタエ
似る,to resemble (verb),ニル
立てる,to stand up (verb),タテル
時点,point in time,ジテン
設備,equipment,セツビ
集まる,to gather (verb),アツマル
措置,measure,ソチ
災害,disaster,サイガイ
魂,soul,タマシイ
もともと,originally,モトモト
発展,development,ハッテン
大丈夫な,okay (adj),ダイジョウブナ
大丈夫,okay,ダイジョウブ
有名な,famous (adj),ユウメイナ
有名,fame,ユウメイ
義務,duty,ギム
移動,movement,イドウ
観光,sightseeing,カンコウ
療法,therapy,リョウホウ
宇宙,space,ウチュウ
定期,regular,テイキ
多様な,diverse (adj),タヨウナ
多様,diversity,タヨウ
ふう,style,フウ
驚く,to be surprised (verb),オドロク
伴う,to accompany (verb),トモナウ
提出する,to submit (verb),テイシュツスル
収入,income,シュウニュウ
手段,means,シュダン
疑問,doubt,ギモン
交換,exchange,コウカン
方針,policy,ホウシン
注意する,to be careful (verb),チュウイスル
多数,majority,タスウ
壁,wall,カベ
引く,to pull (verb),ヒク
書類,document,ショルイ
指定する,to specify (verb),シテイスル
人材,human resources,ジンザイ
他人,others,タニン
絶対,absolute,ゼッタイ
農業,agriculture,ノウギョウ
昨年,last year,サクネン
不動産,real estate,フドウサン
練習,practice,レンシュウ
割合,ratio,ワリアイ
集める,to collect (verb),アツメル
敵,enemy,テキ
全員,all members,ゼンイン
よろしく,regards,ヨロシク
コスト,cost,コスト
児童,children,ジドウ
ストレス,stress,ストレス
法,law,ホウ
プロ,professional,プロ
理論,theory,リロン
運転,driving,ウンテン
評価する,to evaluate (verb),ヒョウカスル
勉強する,to study (verb),ベンキョウスル
町,town,マチ
確実な,certain (adj),カクジツナ
確実,certainty,カクジツ
地区,district,チク
触れる,to touch (verb),フレル
工場,factory,コウバ
有する,to have (verb),ユウスル
地元,hometown,ジモト
今度,next time,コンド
一切,all,イッサイ
選手,player,センシュ
所得,income,ショトク
従来,conventional,ジュウライ
届く,to arrive (verb),トドク
なんとか,somehow,ナントカ
減る,to decrease (verb),ヘル
安心,relief,アンシン
証明,proof,ショウメイ
注文,order,チュウモン
現象,phenomenon,ゲンショウ
どんどん,steadily,ドンドン
心理,psychology,シンリ
良い,good (adj),ヨイ
空間,space,クウカン
耳,ear,ミミ
異常な,abnormal (adj),イジョウナ
異常,abnormality,イジョウ
働き,work,ハタラキ
メンバー,member,メンバー
正確な,accurate (adj),セイカクナ
正確,accuracy,セイカク
以内,within,イナイ
